Row,S118,S121,S126,S127,S137,S141,S143,S146,S153,S155,S158,S187,S193,S194,S195,S198,S205,S224,S225,S231,S235,S244,S248,S258,S263,S264,S268,S269,S286,S288,S297,S334,S344,S353,S365,S370,S378,S380,S381,S389,S398,S421,S422,S424,S434,S436,S439,S446,S451,S456,S458,S462,S463,S468,S470,S475,S476,S478,S479,S483,S484,S495,S497,S517,S524,S526,S529,S53,S530,S536,S543,S550,S551,S552,S561,S563,S577,S58,S584,S587,S589,S59,S591,S598,S602,S604,S614,S617,S618,S628,S643,S655,S77,S80,S88,S92
S118,0.637057689313972,0.0292685896488633,0.00751328660512612,0.0126944591695683,0.00501321543707512,0.0275148622552503,0.00900869085761825,0.0120466828133834,0.0220931792712224,0.0125418383680873,0.0103500591236451,0.012039066796637,0.00777392741420007,0.0100405137030836,0.00484959412524961,0.00922631239889397,0.00433577954711131,0.0076048486236387,0.0120144932720304,0.00833136926329664,0.00775399215987339,0.00232305247472792,0.00730024613899528,0.00359429774272588,0.00607721886230913,0.0130704698498091,0.00977837470903503,0.00342971568813765,0.00537371327103517,0.00577761410315336,0.0055211940197815,0.00571661050126318,0.00288133851936347,0.0126748062780863,0.0192430732403278,0.00240212194630601,0.00992377128676471,0.00950787330204637,0.00934368979278306,0.00348869566696164,0.00440124743318597,0.00510633266632706,0.012512705564612,0.00565407975149889,0.00340727340095686,0.00841584739659639,0.00170783538932439,0.00774707199387509,0.00285118461683592,0.0132228085533183,0.0101156415690895,0.00720162773466177,0.00973060296057326,0.00905152185762868,0.00979642285070698,0.0128825386821748,0.0287763052041939,0.018582235835561,0.00921311851191663,0.0103113179497532,0.00638676881478332,0.0051762321907317,0.00780423149850757,0.00903512031222474,0.0082651387322849,0.00768233802419613,0.00734749091659959,0.00907468039773633,0.00868047540153262,0.00710679968777052,0.0117142340648528,0.00216155891185172,0.00443780145913172,0.0100140246608388,0.00194738560827725,0.0128967633086014,0.0158634052938585,0.00533149788440131,0.0244761550647746,0.0158328881188115,0.00571145855672672,0.0130796275778258,0.00797226254573352,0.009956210796915,0.0189559842212292,0.00177567071187551,0.00546512281463103,0.00979704050333896,0.00834897814974524,0.00855825659272785,0.00926306514720576,0.00844039432487992,0.0124848478858512,0.00982721177695275,0.00882920226542068,0.00752692547591455
S121,0.0292685896488633,0.621430544846532,0.0104204122278617,0.0251838833837881,0.00753139207543645,0.0145993530044999,0.00651277364704438,0.00802254703021516,0.0150483488117166,0.00997317398275411,0.0059141191442092,0.0143347406973108,0.0148501169800658,0.00862948250115785,0.00227916202230532,0.0114348847790805,0.00186280718055658,0.0162412337879787,0.0158181961659939,0.0057826150492023,0.00581082544883997,0.00148740818093298,0.00904262591896333,0.00214701823006874,0.00391432785061248,0.0205114538646826,0.0122563164501974,0.00180088879142272,0.0074123819882913,0.00575196662964486,0.00760624546994621,0.00583750458973957,0.00196620577093091,0.0153423347327425,0.0163702752161994,0.00144639389837318,0.0106986886544934,0.0156705051703157,0.0186327611739145,0.00235393225487699,0.00196901485250294,0.00418660600978462,0.0255844064557609,0.00355918798281209,0.00254227386891753,0.00967166472226285,0.00125623601505329,0.00708727109511741,0.00191925875322331,0.00804666342201741,0.0153192322896656,0.00925247231868739,0.00889834833736948,0.0128351871759971,0.015377322210736,0.018463176686767,0.0231870905066599,0.0137391422313066,0.0150881911810009,0.0119703534544615,0.00473122059288857,0.00373915468397527,0.0119400740303634,0.0180959873744542,0.00667812739793189,0.00507947863849103,0.00458817382279409,0.00806429107676743,0.0185365889137981,0.00423222051107055,0.0154029875750455,0.00170028962793161,0.00299337182169425,0.0117078310258089,0.00147106963077385,0.0078694792671685,0.0120861694617795,0.00360759777393162,0.0222869708791545,0.0287608646153917,0.00438064651918818,0.0175849692012248,0.00711162589905067,0.0202989522008638,0.0158599257288166,0.0014589582472202,0.00293552777816411,0.00971042246340936,0.00699434038506676,0.00847106182059095,0.0163069522519838,0.00804210842979296,0.0162640587520467,0.0140341783269466,0.00987414712871497,0.00738287692901122
S126,0.00751328660512612,0.0104204122278617,0.63464958661765,0.0187289111928539,0.0249303325938443,0.00723667776325175,0.00410322445246782,0.00804151016564492,0.00872234761293695,0.00728395505021808,0.00524852718081377,0.0134781350690813,0.0354109898050517,0.0158156541572449,0.00178571545724707,0.00821412472119635,0.00155535854609152,0.0278071044610815,0.0101449107977994,0.00954581275818616,0.00611503142777364,0.00127526141636111,0.00770423895467734,0.00212306517256384,0.00485762604651433,0.00994282969389518,0.0072882705575154,0.00130024685395961,0.0117988535999624,0.00641732904897716,0.00988202990652118,0.00488697093982055,0.00153141672153303,0.0120376900469468,0.0160025229337107,0.00123482172085159,0.0177371834112878,0.0105506669235997,0.0105263159958961,0.00179322135726452,0.00158668927298685,0.00328953696349602,0.0100321617024953,0.00398458703343454,0.00236673620726205,0.0321841404131854,0.00124116579853128,0.00668369993259406,0.00167589194929623,0.00903093503397087,0.0103824087689669,0.0242456223469788,0.0107479935075717,0.00870098091235491,0.0122678702282896,0.0112598609075015,0.0067978754448942,0.00695196444524667,0.010988333074148,0.00561294060032519,0.00349754260809877,0.00423941474719165,0.0129933194667498,0.0117001948445055,0.0130364383881643,0.00412713792831648,0.00396135925934235,0.0160489622114683,0.0112716059405281,0.00367399029858509,0.00885153588407809,0.00260050314804956,0.00184466469767292,0.00892620821392925,0.00142680876011479,0.00582873866096997,0.00589418079846261,0.00272537235532929,0.00710189807060867,0.0128157872546134,0.00470156049406655,0.0096529388347734,0.00687734274227108,0.0200309088335598,0.0168382096290516,0.00175993344073853,0.00360082519050658,0.0264130334523094,0.0107002411432342,0.0288963826924694,0.0104517300582956,0.0115179249752551,0.0213620331572473,0.00960347847883078,0.0196566701499722,0.00658474617406032
S127,0.0126944591695683,0.0251838833837881,0.0187289111928539,0.612970095266554,0.00960348479750682,0.00806767254061414,0.00473290791009386,0.00973866164401576,0.0120481805061802,0.00850962660194834,0.00552625178981214,0.0149846053134207,0.0246373204276936,0.00871826731063555,0.00242879587385903,0.0149541508314021,0.00198890932352512,0.0301827125161051,0.0174573049829794,0.00626059012483558,0.00797772306343492,0.00136758029932433,0.0111503860906168,0.00205467704194939,0.0043193934713592,0.0162319877879959,0.0105361230843048,0.00164278392313345,0.00655319249147517,0.00679128500797574,0.0064643831668387,0.00673035459261253,0.00186627445451731,0.0201671354579553,0.0143684322289361,0.00134577374717489,0.0208094020730405,0.0258739168634429,0.022552878105278,0.00209882139993478,0.00202656987780057,0.00425256073191894,0.0192642406038987,0.00384707881993545,0.0021926050887553,0.0110296715798588,0.00121344523512179,0.0102660474096238,0.00206003836377452,0.0075517444615894,0.0144296444090727,0.0109723689789583,0.00800391313235566,0.0211168088856744,0.0146758826807089,0.0151864116859512,0.0107400911404524,0.00889986019797251,0.0240082620389648,0.010997101579985,0.00549874946085008,0.00403488108957647,0.0186090017667598,0.0266582169698689,0.00866577360563635,0.00442277707340544,0.00408110870634159,0.00790833687186084,0.0272503392466334,0.00358765736966233,0.0101899571062561,0.0020515309689755,0.00263677970898739,0.0106770492055084,0.00141675277048223,0.00582514711345953,0.0072133713018812,0.00405631626588701,0.012896175828774,0.0259322082560612,0.00632146198406229,0.0172117922976875,0.00574857721426502,0.0206144259988483,0.0112330872785843,0.00167508635079856,0.00444891601215516,0.0119997472967768,0.00846580525966923,0.0109783771122041,0.0158748292085491,0.0122064755762686,0.0219753581371195,0.0144113646024707,0.0113457059482619,0.0103570148475431
S137,0.00501321543707512,0.00753139207543645,0.0249303325938443,0.00960348479750682,0.671031280949254,0.00498844262006811,0.00359286228735142,0.00627886342932097,0.00543016719002863,0.00618066395379857,0.00448537215960032,0.0140178342505957,0.0310636752896316,0.0075561732451039,0.00158483836923144,0.00611493355932904,0.00136448182179487,0.0180385578421879,0.00732074114945269,0.00835033255167399,0.00415241647969521,0.00132453465477951,0.00679130313396219,0.00209324656949289,0.00378773579342421,0.00993423884624818,0.00562052642073018,0.00131311747877345,0.0353082129467022,0.00431297286886214,0.0335445949403832,0.00365098454845075,0.00141886680269966,0.00676849939073665,0.0163996193614757,0.00126526155528267,0.0150424884335016,0.00717026201446466,0.00717331831386318,0.00181966130578555,0.00138783708253128,0.00284928339953226,0.0147849468456911,0.00304073230337567,0.0019501658129714,0.0152203542687122,0.00131349697990797,0.00393132091960118,0.0015318418986293,0.00592449161997352,0.00754609066777421,0.0333086851190273,0.00654002164146756,0.00871830926972518,0.0211099373236598,0.0188765628839853,0.00533981133034056,0.00491918681977138,0.00614999799309266,0.00348197017104968,0.00276064472297712,0.00310512373339439,0.00773422356114305,0.00887230562324602,0.00899785186770189,0.00348159803424609,0.00315517131466114,0.00764784164777681,0.00697576270596177,0.00305707277803591,0.0101588724703789,0.00402419074553015,0.00184598439214932,0.00655592092782941,0.00140341689441389,0.00422256546357323,0.00450963985850508,0.00230227726868611,0.00593135306573541,0.00843932111363377,0.00283160580423019,0.00732937971996655,0.00475517219760932,0.0140664262314696,0.0156853970944895,0.0017937771058816,0.00192250390270843,0.0131769990648821,0.011669202183186,0.0244459877613426,0.0101072543655347,0.0116394828971556,0.00932741398974289,0.00711007805020453,0.0271352504056039,0.00429295251878105
S141,0.0275148622552503,0.0145993530044999,0.00723667776325175,0.00806767254061414,0.00498844262006811,0.649261362214235,0.00852942886771746,0.0143680067875967,0.0128645237380842,0.00677058132283313,0.0174210605433202,0.00622482472703331,0.00551151610162597,0.00821623462973674,0.00757250932543426,0.00750992582941179,0.00584162295683003,0.00674874277479033,0.0123926098150939,0.00752254160669784,0.00826342535527723,0.00391721722815565,0.00843705862151499,0.00813482376145981,0.00780508093648812,0.00727315083004472,0.00810542173409469,0.00701127767818115,0.00544531965536311,0.011309788638715,0.00519637195094019,0.00786982860815305,0.00463778957945084,0.0098741333143929,0.0136550259852774,0.00430266353209235,0.0072507527422921,0.011939993409176,0.00761568470505171,0.00577168545904416,0.00816633323932203,0.00942190343624104,0.00825253627364362,0.00708024559546009,0.00503059622207252,0.00738610326299204,0.00286850355906275,0.00957232186997313,0.00472778470280475,0.00948011949835528,0.00786264250000106,0.00553052837957232,0.012197931294572,0.00662339898750377,0.00579248805875356,0.0073063691528111,0.0205572237217628,0.013069237187965,0.00795523816656447,0.00962699165960183,0.00586399144996246,0.00784330180233903,0.007414236183372,0.00604459569475172,0.00823835902254018,0.00733599847442813,0.0128186910206496,0.0143587165032904,0.00616315608247155,0.00836164801202686,0.0130859441565929,0.00312803261056864,0.0077286435113364,0.0119216993165273,0.00287930910632692,0.0216120880229711,0.012346570661241,0.00745208922417585,0.0129766366006543,0.00786599154724794,0.0107108116048037,0.0078890270719102,0.00976391529140551,0.0062886784803479,0.0113789285288794,0.0027183330607256,0.0106617724887737,0.00715693843885825,0.0131317933348623,0.00978791225533824,0.00740396953467129,0.0137110972348676,0.00869055314875581,0.00805648835677189,0.00621950411785382,0.0101267269216357
S143,0.00900869085761825,0.00651277364704438,0.00410322445246782,0.00473290791009386,0.00359286228735142,0.00852942886771746,0.663560964318334,0.00702792836804484,0.011051010656953,0.0207447852955473,0.00994267685684173,0.00790373218447201,0.0035495781857633,0.0104985343788285,0.00951481566348143,0.0172752588128472,0.00723187434366073,0.00362413674856147,0.0072955842555081,0.00719679661073804,0.0112770363403241,0.00524744906544483,0.00825068224374548,0.00649923102914886,0.0072549282094693,0.012432076247367,0.0189695567070694,0.00626233156602555,0.00411870807354604,0.0056994515259736,0.00525039159730726,0.0142195996227694,0.00428568587214368,0.00569275222463801,0.00889981135331361,0.00405269553021295,0.00462658622612008,0.00804405423676318,0.00655197299889306,0.0084195299315904,0.00671523201049735,0.00774159096261991,0.00489842842593506,0.00647336088148426,0.00608707535359164,0.00571863599127716,0.00394264346584535,0.00805701015050846,0.00592030107078025,0.00904470147977055,0.0104871391864556,0.00459605123495022,0.01006323690278,0.00585045637268043,0.00568808791196097,0.00558264298178815,0.0133947428921241,0.0151197199261433,0.00647343249358712,0.00977941707119034,0.00757666400029579,0.00553531138762873,0.00513921439220392,0.00559668175764156,0.0116932756055685,0.0133079377262191,0.0153900655106263,0.00872049894420779,0.00474114101561568,0.038681829349118,0.00538507908801773,0.00383447221229342,0.00958300094772116,0.00965707611120909,0.00320058679580221,0.0165437836412698,0.033384766462686,0.00986230386014585,0.00939337446400779,0.00651316135647209,0.00523728660728484,0.00855975498725075,0.0128148998041102,0.006470666405346,0.00668859698243712,0.00349619214760617,0.0070730425058515,0.00619221385661274,0.00761003916485388,0.00456255096011044,0.00842731088318976,0.00798252753056112,0.00667624663092799,0.00886165981450582,0.00490287174279429,0.00767840030896252
S146,0.0120466828133834,0.00802254703021516,0.00804151016564492,0.00973866164401576,0.00627886342932097,0.0143680067875967,0.00702792836804484,0.66256286449936,0.0096218696934118,0.0142169046755959,0.00962942772673859,0.00716536832437738,0.00783715242558754,0.00511759074617003,0.00524847353343631,0.0101387936360689,0.00483182222633813,0.00997657829759549,0.025817146348946,0.00467142099235845,0.0103191931773727,0.00365645254289977,0.00812812611233181,0.0051965674750677,0.0051142160128612,0.00736235533987059,0.00941604918617238,0.00479075562317818,0.00563855039038976,0.0108113644807559,0.00564217819871453,0.00884920135643631,0.00377593956587947,0.00971615440856508,0.00852888795992076,0.00373374856798897,0.0200158727132352,0.0145462822839141,0.00802329789122951,0.00514250381220752,0.00449429667815154,0.0067840007408512,0.00855958463461883,0.00497689029377547,0.00529192968033297,0.00539529795083681,0.00251901875786456,0.00893577331761044,0.00462634492993332,0.0069481660264669,0.00661076007128355,0.00841796015248834,0.00513967977380049,0.00800658122700944,0.00626249633904361,0.00698090054854271,0.0085740266123368,0.033109394589274,0.00975803595406079,0.00883765304917093,0.00657856622558582,0.00646653644740992,0.00922332974471839,0.00832851647496811,0.00922503423030586,0.0138673875106405,0.00476503811796397,0.00502647055159921,0.00797055286239302,0.00515830138672518,0.0125949589762114,0.00314637124773086,0.00515978575208269,0.00644667774467162,0.00264100922217208,0.00511983196807018,0.00660879853381098,0.00582218216971191,0.00765931290229357,0.00759702843694036,0.0179800752098011,0.0125744154468363,0.00488904220706708,0.00704928845765463,0.00661150843416787,0.00259995105925535,0.00801887074780799,0.00588801661350771,0.0146013421425595,0.0102022369305271,0.00737716688667982,0.0195336784224649,0.00826313861011745,0.00641215593744723,0.0109508780002658,0.0159834756961825
S153,0.0220931792712224,0.0150483488117166,0.00872234761293695,0.0120481805061802,0.00543016719002863,0.0128645237380842,0.011051010656953,0.0096218696934118,0.646996811820859,0.0214725603052468,0.005742192555269,0.0111492250073552,0.00850445827782252,0.013728807996108,0.0054880091479205,0.011235111771925,0.0036343252809613,0.008932114244152,0.0105489906114623,0.00917268549326669,0.0098578927162217,0.00272660285451122,0.00788041347875217,0.00415441216600806,0.00484411632278623,0.0092442706891612,0.00866379224018913,0.00386445670753674,0.00471179672321759,0.0057807316866965,0.00478298191837162,0.00675056112279558,0.00333136447754126,0.0109632208520846,0.0156108610274369,0.00275382376837747,0.00816682246051638,0.0104775789257469,0.0123216874884287,0.00492279725447099,0.00381965129780112,0.00475096992313214,0.00897248252237707,0.00407690493515702,0.0033827147029043,0.010770815143355,0.00206718238765487,0.00743756271888349,0.00326509725796894,0.0242598413850189,0.00872296886729751,0.00638033670018882,0.00655009449333409,0.00812271432939241,0.00766325827388983,0.00791195606593778,0.0157403827753974,0.0168735223584698,0.0101102189444028,0.0106120848678552,0.00611564953330239,0.00800922220592015,0.00886515017332384,0.00912903735430014,0.0138329076291691,0.0150459693606718,0.00642530879036106,0.00647452295207314,0.0121523555452462,0.00632509609004489,0.00762881577422319,0.00226510181044532,0.0058809249717976,0.00785775229975462,0.00213653068720882,0.00684993072605107,0.0107069336362913,0.00608341463019554,0.0284903673744201,0.0114053348964341,0.00612585550907011,0.0118229407979916,0.00503051990261173,0.00856688724753056,0.0171307801368461,0.0020379697578298,0.0052939611742944,0.00990111103667546,0.0084311410355857,0.00660822495005223,0.00859247237061377,0.00774006444682889,0.0207805610870235,0.00804255089761394,0.00644113698642915,0.00764802912992882
S155,0.0125418383680873,0.00997317398275411,0.00728395505021808,0.00850962660194834,0.00618066395379857,0.00677058132283313,0.0207447852955473,0.0142169046755959,0.0214725603052468,0.652573260715886,0.00545818998620662,0.0194202956095327,0.00772687668999767,0.00658862080960174,0.00363839543687413,0.0198211661820348,0.00267915324032981,0.00870506345690129,0.0118656616537406,0.00455789576830806,0.0111409011781596,0.00254099048732871,0.00817011364734012,0.00356256780673549,0.00360553204067412,0.0132862894035221,0.0146894569149806,0.00281078913339709,0.00515119116408642,0.0046828793747503,0.00547317208637111,0.0115934858902999,0.00270074891135998,0.00910070616775849,0.01271216958968,0.00212741884264713,0.0122468347547693,0.00873009696737683,0.0135460861341017,0.00422530078224415,0.00283418547453188,0.00660246658634676,0.0102355290857436,0.00337674399631727,0.00307713112318995,0.00625931311175078,0.00191180708371331,0.00525026678162887,0.0030589752069274,0.0104758373433288,0.0110477749423092,0.0105233745471664,0.00644869760767053,0.00741435451469339,0.00728387033052843,0.00689972849596419,0.0152166637015867,0.0282739807230024,0.00713752878518584,0.0117458901132765,0.00854896607383057,0.00425241937364644,0.0111677316547901,0.00860397346942668,0.0155176176714089,0.0263554076063583,0.00468290126810128,0.00546657441022948,0.00989116234186224,0.00888838356655859,0.0117074828675034,0.00227638647556067,0.00525154053910496,0.00731779804233149,0.00199898728525451,0.0071336819711159,0.0129072619381088,0.00471802586610267,0.0198598676371562,0.0110201623961726,0.00477176166012616,0.0133658092617349,0.00535069677367166,0.00860661964135719,0.0122963995556759,0.0021041143224316,0.00329881097582334,0.00760223266539244,0.0063324337853977,0.00590920523309064,0.0112609480214827,0.00650244192641729,0.00734925427851309,0.00737464027548537,0.00716367959565946,0.00796274395125262
