Sample,predict_label
0,0
1,0
2,0
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,1
22,1
23,1
24,1
25,0
26,0
27,0
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,1
43,0
44,1
45,0
46,1
47,0
48,0
49,0
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,0
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,0
78,0
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
